playerID,homeAway,Name,Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,InitPlayerName,InitPlayerID,Away?
7109,Away,Terrence Jones,PF,Terrence Jones,3000,Mil@Bos 07:30PM ET,22.917,Mil,Doug McDermott,23478,@Mil
28236,Home,Jordan Mickey,PF,Jordan Mickey,3000,Mil@Bos 07:30PM ET,4.217,Bos,Maybyner Nene,448,@Bos
24302,Away,Jabari Parker,PF,Jabari Parker,3000,Mil@Bos 07:30PM ET,34.578,Mil,JaMychal Green,2187,@Mil
370,Away,Spencer Hawes,C,Spencer Hawes,3000,Mil@Bos 07:30PM ET,14.788,Mil,Ben McLemore,24188,@Mil
2175,Home,Tyler Zeller,C,Tyler Zeller,3000,Mil@Bos 07:30PM ET,8.88,Bos,Jameer Nelson,388,@Bos
2209,Away,John Henson,C,John Henson,3000,Mil@Bos 07:30PM ET,18.147,Mil,Tyson Chandler,516,@Mil
42192,Away,Thon Maker,C,Thon Maker,3000,Mil@Bos 07:30PM ET,7.073,Mil,Tony Snell,22374,@Mil
42,Away,Rodney Stuckey,PG/SG,Rodney Stuckey,3000,Ind@Mem 08:00PM ET,13.513,Ind,Alex Poythress,24266,@Ind
53,Away,Aaron Brooks,PG,Aaron Brooks,3000,Ind@Mem 08:00PM ET,10.098,Ind,Joe Johnson,160,@Ind
81056,Home,Wade Baldwin IV,PG,Wade Baldwin IV,3000,Ind@Mem 08:00PM ET,8.79,Mem,Marreese Speights,771,@Mem
31122,Home,James Ennis,SG/SF,James Ennis III,3000,Ind@Mem 08:00PM ET,14.862,Mem,Tony Allen,391,@Mem
18948,Home,Troy Daniels,SG,Troy Daniels,3000,Ind@Mem 08:00PM ET,12.165,Mem,Arron Afflalo,54,@Mem
22869,Away,Joe Young,SG,Joe Young,3000,Ind@Mem 08:00PM ET,3.793,Ind,Kelly Olynyk,8330,@Ind
24687,Home,Wayne Selden Jr.,SG,Wayne Selden Jr.,3000,Ind@Mem 08:00PM ET,6.458,Mem,Willie Cauley-Stein,24287,@Mem
2537,Home,Chandler Parsons,SF,Chandler Parsons,3000,Ind@Mem 08:00PM ET,13.176,Mem,Jeff Green,37,@Mem
28500,Away,Glenn Robinson,SF,Glenn Robinson III,3000,Ind@Mem 08:00PM ET,13.453,Ind,Timofey Mozgov,11008,@Ind
9730,Away,Lavoy Allen,PF,Lavoy Allen,3000,Ind@Mem 08:00PM ET,10.023,Ind,Derrick Favors,2191,@Ind
2429,Away,Kevin Seraphin,PF,Kevin Seraphin,3000,Ind@Mem 08:00PM ET,9.417,Ind,Caris LeVert,42322,@Ind
42429,Away,Georges Niang,PF,Georges Niang,3000,Ind@Mem 08:00PM ET,2.386,Ind,Norman Powell,24195,@Ind
