playerID,homeAway,First Name Last Name,Id,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,InitPlayerName,InitPlayerID,Away?
452,Away,Carmelo Anthony,nba.p.3706,Carmelo,Anthony,SF,NY,MIA,MIA@NY,7:30PM EDT,35,35.8,,Jahlil Okafor,24685,@MIA
393,Away,Sasha Vujacic,nba.p.3844,Sasha,Vujacic,SG,NY,MIA,MIA@NY,7:30PM EDT,10,5.2,,Cody Zeller,24152,@MIA
50,Away,Joakim Noah,nba.p.4287,Joakim,Noah,PF,NY,MIA,MIA@NY,7:30PM EDT,10,20.5,INJ,J.J. Barea,298,@MIA
756,Away,Derrick Rose,nba.p.4387,Derrick,Rose,PG,NY,MIA,MIA@NY,7:30PM EDT,24,29,,Tony Parker,268,@MIA
777,Away,Courtney Lee,nba.p.4484,Courtney,Lee,SG,NY,MIA,MIA@NY,7:30PM EDT,13,20.5,,Courtney Lee,777,@MIA
1948,Away,Lance Thomas,nba.p.4966,Lance,Thomas,PF,NY,MIA,MIA@NY,7:30PM EDT,10,11.9,INJ,Richaun Holmes,42932,@MIA
19543,Away,Kyle O'Quinn,nba.p.5083,Kyle,O'Quinn,C,NY,MIA,MIA@NY,7:30PM EDT,10,17.5,,C.J. Miles,125,@MIA
6968,Away,Justin Holiday,nba.p.5142,Justin,Holiday,SG,NY,MIA,MIA@NY,7:30PM EDT,10,14.4,,Michael Beasley,757,@MIA
32861,Away,Kristaps Porzingis,nba.p.5464,Kristaps,Porzingis,PF,NY,MIA,MIA@NY,7:30PM EDT,33,33.5,,Tyreke Evans,1601,@MIA
37870,Away,Willy Hernangomez,nba.p.5495,Willy,Hernangomez,C,NY,MIA,MIA@NY,7:30PM EDT,16,18.3,,Yogi Ferrell,24263,@MIA
57363,Away,Maurice Ndour,nba.p.5530,Maurice,Ndour,SF,NY,MIA,MIA@NY,7:30PM EDT,10,4.6,,Marco Belinelli,48,@MIA
24177,Away,Marshall Plumlee,nba.p.5692,Marshall,Plumlee,C,NY,MIA,MIA@NY,7:30PM EDT,10,3.8,,Draymond Green,2369,@MIA
9729,Away,Mindaugas Kuzminskas,nba.p.5694,Mindaugas,Kuzminskas,SF,NY,MIA,MIA@NY,7:30PM EDT,10,10.6,,Jusuf Nurkic,32965,@MIA
30538,Away,Ron Baker,nba.p.5704,Ron,Baker,PG,NY,MIA,MIA@NY,7:30PM EDT,10,8.6,,J.R. Smith,386,@MIA
24199,Away,Chasson Randle,nba.p.5706,Chasson,Randle,PG,NY,MIA,MIA@NY,7:30PM EDT,10,8.2,,Wayne Ellington,1620,@MIA
244,Home,Mike Dunleavy,nba.p.3601,Mike,Dunleavy,SG,ATL,PHI,ATL@PHI,7:00PM EDT,10,9.9,,Buddy Hield,42415,@PHI
376,Home,Dwight Howard,nba.p.3818,Dwight,Howard,C,ATL,PHI,ATL@PHI,7:00PM EDT,25,32.8,,Brandon Ingram,72279,@PHI
383,Home,Kris Humphries,nba.p.3831,Kris,Humphries,PF,ATL,PHI,ATL@PHI,7:00PM EDT,10,10.3,,Malcolm Brogdon,24209,@PHI
128,Home,Ersan Ilyasova,nba.p.3962,Ersan,Ilyasova,PF,ATL,PHI,ATL@PHI,7:00PM EDT,19,24.5,,Gerald Henderson,1606,@PHI
